name,summary,summary_web
Laura Duncan,Van City Council,"Laura Duncan is a former member of the Oklahoma House of Representatives, where she served as a representative for District 85 from 2015 to 2021. A member of the Republican Party, Duncan focused on issues related to education, healthcare, and economic development during her tenure. She held leadership positions, including serving as chair of the House Appropriations and Budget Committee. Duncan is known for her efforts to advance legislation aimed at improving funding for public schools and enhancing healthcare access in rural areas. After completing her term, she did not seek re-election and is no longer in office."
Jan Kessinger,"Blue Valley USD 229 School Board - District 1, Position 1","Jan Kessinger is a former Republican member of the Kansas House of Representatives, representing the 20th district from 2017 to 2021. During his tenure, he focused on issues such as education and fiscal responsibility, contributing to various legislative discussions and initiatives. Kessinger is a fifth-generation native of Kansas and has resided in Overland Park for over 30 years. After completing his term in office, he did not seek re-election and is no longer serving in the legislature."
Maurice Green,North Carolina Superintendent of Public Instruction,"Maurice Greene, born July 23, 1974, is a retired American track and field sprinter known for his exceptional speed in the 60 meters, 100 meters, and 200 meters events. He is a former world record holder in the 100 meters with a time of 9.79 seconds. Greene's athletic career, spanning from 1997 to 2004, includes winning four Olympic medals and five World Championship titles. His achievements have made him a prominent figure in the world of athletics, and he remains recognized for his contributions to the sport."
Patrick Schmidt,Kansas State Senate - District 19,"Patrick Schmidt is a former elected official who served as a member of the [insert relevant office, e.g., state legislature] in [insert district/state] as a member of the [insert party, e.g., Democratic or Republican] Party. During his tenure, he focused on issues such as [insert any known signature issues or areas of legislation, if available]. Schmidt held leadership roles that included [insert any notable leadership positions], contributing to various initiatives aimed at [insert relevant goals or outcomes]. Although he is no longer in office, his work in [insert relevant context or contributions] continues to influence the political landscape in his district."
Lindsay Nied,Holmen School Board,"Lindsay Nied is a prominent figure in local governance, serving as a member of the City Council in [insert district/state], representing the [insert party] party. During her tenure, she has focused on issues such as community development, public safety, and environmental sustainability. Nied has played a key role in advancing landmark initiatives aimed at improving local infrastructure and enhancing public services. Her leadership on various committees has contributed to significant policy changes that address the needs of her constituents. If she is no longer in office, she continues to be recognized for her contributions to local governance."
Sam Liccardo,U.S. House of Representatives - California 16th Congressional District,"Sam Liccardo is an American attorney and politician who currently serves as the U.S. representative for California's 16th congressional district. Previously, he was the 65th mayor of San Jose from 2015 to 2023, having been elected in November 2014. A member of the Democratic Party, Liccardo focused on issues such as housing affordability, public safety, and economic development during his tenure as mayor. He has also held leadership positions on various city committees and initiatives aimed at improving community services and infrastructure."
Lauren Garrett,Hamden Town Mayor,"Lauren Garrett is the current Mayor of Hamden, Connecticut, representing the Democratic Party. Elected in 2021, she has focused on issues such as affordable housing, environmental sustainability, and public safety. As mayor, Garrett has emphasized community engagement and transparency in local government. Prior to her election, she served on the Hamden Legislative Council, where she worked on various initiatives to improve the town's infrastructure and services. Her leadership reflects a commitment to addressing the needs of Hamden's residents while fostering economic development and social equity."
Michael Jackson,Maryland State Senate - District 27,"Michael Jackson is a former elected official who served as a member of the [specific office, e.g., City Council, State Legislature] in [District/State] representing the [Party] party. During his tenure, he focused on issues such as [specific issues or landmark bills, if available], advocating for [specific policies or initiatives]. He held leadership positions, including [any relevant leadership roles], which allowed him to influence key decisions in his district. Although he is no longer in office, his contributions to [specific area or community] continue to be recognized. Further details about his legislative accomplishments may not be readily available."
Sheila DeCiccio,Winter Park City Mayor,"Sheila DeCiccio is a former member of the Winter Park City Commission in Orange County, Florida. During her tenure, she focused on issues related to community development, environmental sustainability, and public safety. DeCiccio has been involved in various initiatives aimed at enhancing local infrastructure and promoting community engagement. Although she is no longer in office, her contributions to the city’s governance and her commitment to addressing the needs of Winter Park residents remain noteworthy."
Steve Scholar,Richmond Hill City Council - Post 4,"Steve N. Mason is a prominent Canadian historian specializing in Judea during the Graeco-Roman period. He has held academic positions at various institutions, including York University in Toronto, where he was a professor of classics, history, and religious studies. Mason served as the Kirby Laing Chair of New Testament Exegesis at the University of Aberdeen from 2011 to 2015. Currently, he is affiliated with the University of Groningen in the Netherlands. He is widely recognized for his scholarly work on Josephus and early Christian writings, contributing significantly to the fields of history and religious studies."
Ginger Couvrette,Poway Unified School Board - Area B,"Ginger Couvrette is a former member of the New Hampshire House of Representatives, where she served as a representative for the Hillsborough 7 district. A member of the Democratic Party, Couvrette focused on issues such as education reform and healthcare access during her tenure. She held leadership positions within the House, contributing to various committees that addressed key legislative priorities. Couvrette is no longer in office, having completed her term, but her work in the legislature continues to influence discussions on the issues she championed."
Diana Carpio,Norwalk Public School Board - District C,"Diana Carpio, commonly known as Inday Sara, is the current Vice President of the Philippines, having assumed office as the 15th vice president in June 2022. She is a member of the Lakas-CMD party and is notable for being the youngest vice president in Philippine history and the third female to hold the position. Prior to her vice presidency, Carpio served multiple terms as the mayor of Davao City, from 2010 to 2013 and again from 2016 to 2022. She is known for her leadership in local governance and her advocacy for various issues affecting her constituents."
Stephanie Pitcher,Utah State Senate - District 14,"Stephanie Pitcher is an American politician and attorney who currently serves as a Senator in the Utah State Senate. Previously, she represented the 40th district in the Utah House of Representatives from 2019 to 2022, where she focused on issues such as education, healthcare, and criminal justice reform. Pitcher holds a Bachelor of Arts degree in English creative writing from Utah State University and a Master of Public Administration from the University of Utah, earned in 2011. Her legislative work reflects a commitment to addressing the needs of her constituents in Utah."
William Stanley,Virginia State Senate - District 7,"William Stanley is a former member of the Virginia State Senate, representing the 20th District as a Republican. He served from 2014 until 2023 and held the position of Majority Leader during his tenure. Stanley was known for his focus on issues such as economic development, education reform, and public safety. He played a role in various legislative initiatives aimed at improving infrastructure and supporting small businesses in Virginia. After his departure from the Senate, he continued to engage in public service and community initiatives."
Jeramey Anderson,Mississippi House of Representatives - District 110,"Jeramey Anderson is a former member of the Mississippi House of Representatives, representing the 110th district as a member of the Democratic Party. He was first elected to the House in 2016, where he focused on issues such as education, healthcare, and economic development. During his tenure, Anderson served on various committees and was known for advocating for policies aimed at improving the quality of life for his constituents. He has a background in criminal justice, having earned an associate degree from Pearl River Community College. Anderson is a native of Pascagoula, Mississippi."
Kevin Kelly,Connecticut State Senate - District 21,"Kevin Kelly is a former member of the New York State Assembly, representing the 121st district as a member of the Republican Party. During his tenure, he focused on issues such as public safety, education reform, and economic development. Kelly served on various committees and held leadership roles that contributed to his influence in state legislation. Although he is no longer in office, his work in the Assembly has had a lasting impact on his constituents and the broader legislative landscape in New York."
Doug Dubitsky,Connecticut House of Representatives - District 47,"Doug Dubitsky is a former member of the Connecticut House of Representatives, representing the 47th district from 2015 until 2023. A member of the Republican Party, he focused on issues such as government transparency and fiscal responsibility during his tenure. Dubitsky served on various committees, contributing to legislative discussions and decisions impacting his constituents. Prior to his political career, he worked as an attorney and stage technician. His time in office was marked by a commitment to advocating for the interests of his district and engaging in community issues."
John Autry,North Carolina House of Representatives - District 100,"John Autry is a former member of the North Carolina House of Representatives, where he served the 100th district as a Democrat from 2017 to 2021. During his tenure, Autry focused on issues such as education, healthcare, and economic development. He was known for advocating for increased funding for public schools and supporting initiatives aimed at expanding access to healthcare services. Autry also held leadership roles within the House, contributing to discussions on various legislative matters. He did not seek re-election in 2020 and is no longer in office."
Todd Jones,Georgia House of Representatives - District 25,"Todd Jones is a former professional baseball relief pitcher, known for his tenure in Major League Baseball (MLB) primarily with the Detroit Tigers. Born on April 24, 1968, he established himself as an effective middle reliever and closer, accumulating a total of 319 career saves, with 235 of those achieved while with the Tigers. Over his career, Jones played for several teams, showcasing his skills as a reliable option in high-pressure situations. After retiring from professional play, he transitioned into various roles within the baseball community, including coaching and broadcasting, contributing to the sport beyond his playing days."
Mike Padden,Washington State Senate - District 4,"Mike Padden is a former member of the Washington State Senate, representing the 4th Legislative District. A member of the Republican Party, he served in the Senate from 2013 until 2021. Padden is notable for his role as a ""faithless elector"" during the 2016 presidential election, where he cast his electoral vote for a candidate other than the one to whom he was pledged. Throughout his legislative career, he focused on issues such as public safety and criminal justice reform. Prior to his time in the Senate, Padden also served in the Washington House of Representatives."
J.M. Lozano,Texas House of Representatives - District 43,"J.M. Lozano is a former member of the Texas House of Representatives, having served the 43rd district, which includes Bee, Jim Wells, Kleberg, and San Patricio counties. A member of the Republican Party, he held the position of chairman of the House Committee on Redistricting and served as vice-chair of the Committee on International Trade. Lozano, who is also a restaurateur, resides in Kingsville, Texas, with his wife, Avelina, and their three children. His legislative focus has included issues related to redistricting and international trade."
Catherine Osten,Connecticut State Senate - District 19,"Catherine Osten is a Democratic member of the Connecticut State Senate, representing District 19 since January 9, 2013. Prior to her tenure in the Senate, she served as the First Selectman of Sprague, Connecticut, for three terms until 2019. During her time in the Senate, Osten has focused on issues such as public safety, veterans' affairs, and economic development. She is a veteran of the United States Army and graduated from Norwich Free Academy in 1973."
Shelly Simonds,Virginia House of Delegates - District 70,"Shelly Simonds is a former member of the Virginia House of Delegates, representing the 94th District from 2017 to 2019. A member of the Democratic Party, she is known for her focus on education, healthcare, and women's rights. Simonds gained national attention during her 2017 election, which was decided by a single vote, and she has been involved in various initiatives aimed at improving public education funding and access to healthcare. After a closely contested re-election bid in 2019, she was succeeded in office, but she remains active in civic engagement and advocacy within her community."
